Билеты+ПДД 2016 Экзамен ГИБДД	https://play.google.com/store/apps/details?id=jabi.pdd2	29 июля 2016 г.	1000000	5000000	 27M  	 7.6  	     4.1 или более поздняя   	3+		4,9	70 962	342	191	676	6 452	63 301
Билеты ПДД AB	https://play.google.com/store/apps/details?id=com.ToshaApplication.PDD_AB	2 июня 2016 г.	5000	10000	 27M  	 1.7  	     2.3 или более поздняя   	3+		4,7	104	6	1	2	5	90
ПДД Россия 2016: Сдай экзамен!	https://play.google.com/store/apps/details?id=com.vinternete.pddrussia	11 мая 2015 г.	10000	50000	 13M  	 1.0  	     4.1 или более поздняя   	3+	2976 Granville Drive Sparks, NV 89436	4,6	296	12	5	4	38	237
Билеты ПДД РФ. Экзамен 2016	https://play.google.com/store/apps/details?id=ru.pascal4eg.pddexamfree	24 марта 2016 г.	100000	500000	 23M  	 1.9.4  	     2.3 или более поздняя   	3+	г. Рыбинск, ул. Моисеенко 16	4,5	1 651	81	60	72	187	1 251
ПДД Беларуси	https://play.google.com/store/apps/details?id=by.pdd.rules	30 июня 2016 г.	500000	1000000	 4,0M  	 5.8  	     1.6 или более поздняя   	3+		4,6	10 029	357	209	374	1 145	7 944
Билеты ПДД 2016 AB/CD	https://play.google.com/store/apps/details?id=com.fedorov.roadrules	7 августа 2016 г.	50000	100000	 17M  	 3.9.1  	     2.3.3 или более поздняя   	3+	124617 Moscow, Russia Aleksandrovka str. 1432	4,7	1 890	38	28	47	208	1 569
ПДД-UA	https://play.google.com/store/apps/details?id=com.weltix.ukrainepdd	26 июля 2016 г.	10000	50000			     2.3.3 или более поздняя   	3+		4,8	60	0	1	0	8	51
Билеты ПДД РФ 2016 Экзамен	https://play.google.com/store/apps/details?id=com.gaipddexam3	22 марта 2016 г.	100000	500000	 12M  	 1.04  	     4.0.3 или более поздняя   	3+	16/11 Mironova Rostov-on-Don Rostov region 344045 Russian Federation	4,7	2 289	56	33	60	326	1 814
Теория ГИБДД Lite[Экзамен ПДД]	https://play.google.com/store/apps/details?id=com.anddeveloper.pddlt	19 апреля 2013 г.	100000	500000	 1,3M  	 1.0.3  	     1.6 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,2	642	82	18	32	74	436
ПДД и Билеты Россия 2015	https://play.google.com/store/apps/details?id=kz.crystalspring.pit_stop_ru	5 февраля 2014 г.	10000	50000	 23M  	 1.2  	     2.1 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,5	473	30	11	19	57	356
PDD Rus (ПДД РФ)	https://play.google.com/store/apps/details?id=vovanrost.android.PDD	16 сентября 2013 г.	100000	500000	 1,7M  	 2.1  	     1.6 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,7	2 313	47	20	64	290	1 890
Экзамен ПДД 2016	https://play.google.com/store/apps/details?id=ru.unteam.GAIFREE	4 апреля 2016 г.	50000	100000	 30M  	 1.5  	     2.3.3 или более поздняя   	3+		4,6	3 344	46	28	142	695	2 433
Учебник "Автошкола Дома"(демо)	https://play.google.com/store/apps/details?id=ru.alexeyburlakov.pdd.tutorial2	30 ноября 2015 г.	50000	100000	 24M  	 1.0.30  	     4.0 или более поздняя   	3+	Россия, г.Ростов-на-Дону, пер. Гвардейдейский 11/2, кв 29	4,4	429	31	13	17	46	322
Ассистент водителя	https://play.google.com/store/apps/details?id=phoenix.apps.assistent	2 декабря 2014 г.	10000	50000	 13M  	 1.6  	     4.0 или более поздняя   	3+	188761, Ленинградская обл., г.Сланцы, ул.1 Мая, д.78/23, кв.3	4,6	267	13	2	13	36	203
Билеты ПДД 2016 (PRO)	https://play.google.com/store/apps/details?id=com.grydmitrij.ticketpdd	8 июня 2016 г.	1000	5000	 18M  	 1.3.4.1  	     2.2 или более поздняя   	3+	308033, Russia, Belgorod	4,9	467	3	2	9	25	428
Штрафы ГИБДД официальные (ПДД)	https://play.google.com/store/apps/details?id=ru.gibdd_pay.app	30 июня 2016 г.	500000	1000000	 26M  	 1.3.2  	     4.0.3 или более поздняя   	3+		4,7	15 967	467	175	278	1 399	13 648
Билеты ПДД 2016 [C,D]	https://play.google.com/store/apps/details?id=ru.blogspot.ekzamenpdd4	8 марта 2016 г.	50000	100000	 17M  	 1.14  	     2.1 или более поздняя   	3+		4,3	536	32	32	34	79	359
ПДД с кратким комментарием	https://play.google.com/store/apps/details?id=com.pdd.book	10 мая 2016 г.	50000	100000	 9,3M  	 2.5  	     2.3 или более поздняя   	3+	Молдова, г. Кишинев, ул. Мирчеа чел Бэтрын	4,3	806	66	22	44	115	559
Таблица штрафов ПДД 2016	https://play.google.com/store/apps/details?id=ru.dtulupov.Penalties2014	13 апреля 2016 г.	10000	50000	 337k  	 1.4  	     2.3 или более поздняя   	3+		3,9	130	16	14	5	31	64
ПДД Украины 2016	https://play.google.com/store/apps/details?id=ua.vodiy	9 августа 2016 г.	50000	100000	 6,0M  	 1.0.6  	     4.0 или более поздняя   	3+	Україна, м. Київ, вул. Світлицького 13.	4,6	1 657	35	18	66	338	1 200
Билеты ПДД 2016 экзамен AB, CD	https://play.google.com/store/apps/details?id=com.pervayaavto.mobile	3 апреля 2016 г.	50000	100000	 29M  	 2.35  	     2.3.3 или более поздняя   	3+	346400, Ростовская область, г.Новочеркасск, ул. 26 Бакинских комиссаров, 78	4,8	2 638	54	53	61	159	2 311
ПДД онлайн для всех бесплатно	https://play.google.com/store/apps/details?id=com.abf.office.drivetest.ru	28 мая 2016 г.	1000	5000	 20M  	 1.0.2  	     4.0 или более поздняя   	3+		4,7	49	0	0	6	2	41
Тест ПДД (Латвия)	https://play.google.com/store/apps/details?id=com.demsar.CSNTDroid	19 августа 2014 г.	10000	50000	 266k  	 2.012  	     2.2 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,5	1 349	54	27	47	281	940
Дорожная разметка	https://play.google.com/store/apps/details?id=com.iskander.roadmarkings	10 июля 2015 г.	100000	500000	 5,2M  	 1.1  	     2.3 или более поздняя   	3+	359431 Республика Калмыкия, Малодербетовский район, с. Тундутово, ул. Черткова, 9	4,6	824	25	20	46	115	618
Экзамен ПДД 2015 – Бесплатно	https://play.google.com/store/apps/details?id=ru.instapp.pdd	29 января 2015 г.	5000	10000	 28M  	 1  	     4.0 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	Москва, Россия	4,8	230	4	7	5	10	204
Билеты ПДД 2016 [A,B]	https://play.google.com/store/apps/details?id=ru.blogspot.ekzamenpdd	8 марта 2016 г.	100000	500000	 16M  	 3.17  	     2.1 или более поздняя   	3+		4,3	2 820	190	123	174	397	1 936
Билеты ПДД CD	https://play.google.com/store/apps/details?id=com.ToshaApplication.PDD_CD	2 июня 2016 г.	10000	50000	 27M  	 1.6  	     2.3 или более поздняя   	3+		4,5	253	13	8	14	29	189
Билеты ПДД ГАИ Беларусь	https://play.google.com/store/apps/details?id=com.ntinside.bypdd	22 ноября 2013 г.	100000	500000	 6,3M  	 1.1  	     2.1 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	ntinside@gmail.com	4,1	1 361	130	75	115	251	790
Антирадар MapcamDroid	https://play.google.com/store/apps/details?id=info.mapcam.droid	10 августа 2016 г.	1000000	5000000		 2.6.334  	     2.2 или более поздняя   	3+		4,6	24 727	1 061	483	878	3 138	19 167
АВТО//ПОМОЩЬ ПДД БИЛЕТЫ ГИБДД	https://play.google.com/store/apps/details?id=com.ntinside.rfpdd	17 июля 2014 г.	1000000	5000000	 5,0M  	 2.0.14  	     2.1 или более поздняя   	3+		4,6	6 746	291	151	263	687	5 354
Задачи ПДД Беларусь	https://play.google.com/store/apps/details?id=com.ntinside.bypddr	22 ноября 2013 г.	50000	100000	 9,6M  	 1.0  	     2.1 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	ntinside@gmail.com	4,0	853	102	45	79	130	497
Экзамен ПДД сдан!	https://play.google.com/store/apps/details?id=zhirnov.net.pdd	18 января 2016 г.	10000	50000	 17M  	 3.3  	     2.3 или более поздняя   	3+	Herceg novi, Bratstva Jedinstva, bb	4,3	218	18	11	16	24	149
AndroidExam ПДД Lite	https://play.google.com/store/apps/details?id=com.azat.pddlite	15 октября 2011 г.	10000	50000	 2,0M  	 1.5  	     1.5 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,3	73	5	2	8	8	50
Учитель ПДД 2014	https://play.google.com/store/apps/details?id=ru.carsguru.pdd	7 октября 2014 г.	50000	100000	 22M  	 1.2.11  	     2.3.3 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	115280, Россия, Москва, ул. Ленинская Слобода, д. 19, стр. 1	4,6	3 511	74	47	124	572	2 694
Билеты ПДД 2013 РФ	https://play.google.com/store/apps/details?id=com.ntinside.droidpdd2012	6 декабря 2013 г.	1000000	5000000	 23M  	 1.13  	     3.0 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,7	27 752	1 119	310	539	1 467	24 317
Тренажер ПДД 2015 Lite версия	https://play.google.com/store/apps/details?id=com.kostosha.pddtrainer.lite	31 августа 2013 г.	100000	500000	 34M  	 1.0  	     2.2 или более поздняя   	3+	119017, г. Москва, Малый Толмачевский пер., 4, стр. 1, Метро "Третьяковская", "Полянка".	4,6	2 865	106	55	121	407	2 176
ПДД 2015. Теория	https://play.google.com/store/apps/details?id=ru.buka.pdd	10 марта 2015 г.	50000	100000	  Зависит от устройства 	  Зависит от устройства 	  Зависит от устройства   	3+	Каширское шоссе, 1, строение 2, Компания «Бука» Россия, Москва, 115230  	4,6	1 868	77	36	64	216	1 475
Знаки и разметка – тесты ПДД	https://play.google.com/store/apps/details?id=com.doublerouble.znaki	26 июля 2016 г.	500	1000	 7,8M  	 1.6.0  	     2.3 или более поздняя   	3+	194295, Russia, St. Petersburg, pr. Prosvesheniya 33-1-186	4,3	11	1	0	2	0	8
Экзамен ПДД 2016	https://play.google.com/store/apps/details?id=ivanb.apps.gaiwebviewapp	15 января 2016 г.	5000	10000	 72M  	 2.3  	     4.1 или более поздняя   	3+		4,4	112	4	9	4	11	84
ПДД 2014 Lite	https://play.google.com/store/apps/details?id=ru.idcompany.roadlaws.view.lite	27 мая 2014 г.	10000	50000	 26M  	 1.5  	     2.3.3 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	Russia Voronezh F.Engelsa 33A	4,2	226	21	5	19	33	148
Справочник по ПДД России	https://play.google.com/store/apps/details?id=com.akdevelopment.ref.pddrus.free	18 июня 2016 г.	50000	100000	 7,5M  	 2.92  	     4.1 или более поздняя   	3+	Russia, Moscow, 1-ya Brestskaya, 33/17	3,9	116	20	2	12	17	65
Экзамен ПДД 2016+ Категории CD	https://play.google.com/store/apps/details?id=com.zubaka.pdd.rus.cd	26 марта 2016 г.	1000	5000	 31M  	 2.1  	     4.1 или более поздняя   	3+	г. Пермь, ул. Советской Армии 37-29	4,7	90	3	1	0	10	76
ПДД Автошкола 2016	https://play.google.com/store/apps/details?id=ru.autoschooljack.android	28 мая 2016 г.	10000	50000	 63M  	 1.1  	     4.0.3 или более поздняя   	3+	420011, Российская Федерация, Республика Татарстан, г. Казань, ул. Азамат, д. 85	4,7	180	9	3	4	3	161
Вело ПДД	https://play.google.com/store/apps/details?id=velo.pdd	29 декабря 2014 г.	10000	50000	 4,4M  	 1.6.0  	     2.3 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	proezd Svetliy, dom 11A, 39 Kursk Россия 305046	4,6	780	24	18	30	133	575
Driver Info ПДД Украина	https://play.google.com/store/apps/details?id=ua.iaroslavtiurmenko.driverinfo	23 октября 2013 г.	50000	100000	 6,9M  	 3.94  	     2.2 или более поздняя   	3+		4,6	1 368	41	18	54	168	1 087
Правила дорожного движения	https://play.google.com/store/apps/details?id=com.natalya.lev.pdd	10 сентября 2013 г.	100	500	 7,5M  	 1.0  	     1.5 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	Baykalapps@gmail.com	4,3	6	0	0	1	2	3
GPS АнтиРадар (детектор) FREE	https://play.google.com/store/apps/details?id=air.StrelkaSDFREE	10 августа 2015 г.	1000000	5000000	 12M  	 1.3.1  	     2.2 или более поздняя   	3+	111402, город Москва, аллея Жемчуговой, дом 5, корпус 2, для юридического лица ООО "РК Финанс".	4,3	38 857	2 609	1 371	2 119	6 567	26 191
ПДД 2012	https://play.google.com/store/apps/details?id=ru.idcompany.roadlaws.view	19 сентября 2011 г.	1000	5000	 25M  	 1.2  	     2.1 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	Russia Voronezh F.Engelsa 33A	3,8	39	6	3	3	7	20
Рули Онлайн	https://play.google.com/store/apps/details?id=ru.rulionline.pdd	19 февраля 2016 г.	1000	5000	 36M  	 1.1  	     4.0 или более поздняя   	3+	Архангельск, ул. Урицкого, 10, офис 10	4,6	62	4	1	1	2	54
ПДД РФ 2016 / Дорожные знаки	https://play.google.com/store/apps/details?id=russianapp.books.pdd.AOVWSFAMBQKAVOZFUO	30 мая 2016 г.	1000	5000	 3,0M  	 1.1  	     2.1 или более поздняя   	3+		4,3	14	1	2	0	0	11
Pit-Stop.kz ПДД 2015 Казахстан	https://play.google.com/store/apps/details?id=kz.crystalspring.pit_stop_kz	1 октября 2015 г.	100000	500000	 17M  	 1.9.2  	     2.3 или более поздняя   	3+		4,5	7 554	339	209	324	881	5 801
AZPDD Тесты ПДД Азербайджана	https://play.google.com/store/apps/details?id=org.azpdd.redcat	14 апреля 2016 г.	100000	500000	 24M  	 v165  	     2.3 или более поздняя   	3+		4,6	5 044	231	107	183	442	4 081
правила дорожного движения	https://play.google.com/store/apps/details?id=russia.sda.en_ligne.ticket_pdd	22 июля 2015 г.	5000	10000	 2,5M  	 1.3.2  	     2.2 или более поздняя   	3+		3,6	29	9	1	1	0	18
пдд онлайн	https://play.google.com/store/apps/details?id=russia.sda.en_ligne.pdd	21 июля 2015 г.	5000	10000	 2,6M  	 1.3.2  	     2.2 или более поздняя   	3+		4,0	17	2	0	3	3	9
ПДД  РФ  билеты,штрафы,знаки	https://play.google.com/store/apps/details?id=falcofinder.android.prava	26 января 2014 г.	10000	50000	 13M  	 3.5  	     2.1 или более поздняя   	3+	via Baumann 18 24040 Canonica d'Adda (BG) Italy 	4,1	141	15	8	12	21	85
ПДД и Штрафы КР 2016 (Free)	https://play.google.com/store/apps/details?id=kg.johnyzak.kgpdd	21 апреля 2016 г.	50000	100000	 11M  	 3.5  	     2.3 или более поздняя   	3+	694020, Russia, Sakhalin region, Sovetskaya st., 16, ap. 2	4,5	1 886	85	38	89	233	1 441
Тест ПДД ua	https://play.google.com/store/apps/details?id=org.artsen.testapp	12 июля 2013 г.	10000	50000	 2,4M  	 1.8  	     2.1 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		3,7	188	40	6	18	26	98
Экзамен ПДД 2015. Билеты.	https://play.google.com/store/apps/details?id=ru.highflyer.dr	1 марта 2015 г.	50000	100000	 16M  	 2.2.11  	     2.3 или более поздняя   	3+	Санкт-Петербург, Туристская улица, дом 23, корпус 2, квартира 466	4,5	1 172	52	28	61	159	872
Вело ПДД Pro	https://play.google.com/store/apps/details?id=velo.propdd	29 августа 2013 г.	50	100	 4,3M  	 1.3  	     2.1 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	proezd Svetliy, dom 11A, 39 Kursk Россия 305046	4,1	10	1	0	2	1	6
Правила дорожного движения ПДД	https://play.google.com/store/apps/details?id=com.whisperarts.kids.journal.demo0009	8 мая 2014 г.	10000	50000	 8,2M  	 1.1.4.3  	     2.2 или более поздняя   	3+	214000, Russia, Smolensk, ul. Karla-Marksa, 12	3,4	190	48	23	15	17	87
Билеты ПДД 2016 РОССИЯ AB, CD	https://play.google.com/store/apps/details?id=com.sambelkin.pdd	27 мая 2016 г.	1000	5000	 29M  	 1.17b  	     2.3.3 или более поздняя   	3+	Россия, г. Новочеркасск, пр. Ермака 106, оф. 520	4,8	5	0	0	0	1	4
ПДД Штрафы ГИБДД	https://play.google.com/store/apps/details?id=pdd.gibdd	28 ноября 2014 г.	50000	100000	 10M  	 14.0.0  	     2.3 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	proezd Svetliy, dom 11A, 39 Kursk Россия 305046	4,4	1 527	93	30	81	289	1 034
ПДД России 2016	https://play.google.com/store/apps/details?id=com.imtech24.pdd_ru	22 марта 2016 г.	500	1000	 6,0M  	 1.0.33  	     4.0 или более поздняя   	3+	Ukraine, Donetsk region, Avdiyvka, Komunalna str. 25, 903	3,7	6	1	1	0	1	3
Экзамен ПДД Узбекистан 2016	https://play.google.com/store/apps/details?id=com.vokrab.pdduzbekistanexam	22 апреля 2016 г.	50000	100000	 11M  	 1.5  	     4.0 или более поздняя   	3+	Харьков, улица Чернышевского 13	4,4	885	57	21	55	101	651
Билеты ПДД 2015	https://play.google.com/store/apps/details?id=com.andromo.dev416454.app402878	4 мая 2015 г.	100000	500000	 2,1M  	 1.13  	     2.3.3 или более поздняя   	3+		3,5	491	156	13	20	52	250
Билеты ПДД 2016.Экзамен ГИБДД	https://play.google.com/store/apps/details?id=com.bogdanobyxov.pddrus	15 ноября 2015 г.	10000	50000	 4,2M  	 1.4.0  	     2.3.3 или более поздняя   	3+		3,9	101	21	5	3	11	61
Штрафы ПДД 2016	https://play.google.com/store/apps/details?id=ru.blogspot.pddrussia	8 марта 2016 г.	100000	500000	 8,8M  	 5.25  	     2.1 или более поздняя   	3+		4,3	1 653	124	68	111	287	1 063
ПДД Беларуси	https://play.google.com/store/apps/details?id=com.imtech24.pdd_by	22 марта 2016 г.	1000	5000	 6,0M  	 1.0.04  	     4.0 или более поздняя   	3+	Ukraine, Donetsk region, Avdiyvka, Komunalna str. 25, 903	4,4	14	1	1	0	1	11
ПДД Штрафы ГИБДД Pro	https://play.google.com/store/apps/details?id=pdd.znaki	9 августа 2014 г.	1000	5000	 10M  	 12.0.0  	     3.2 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	proezd Svetliy, dom 11A, 39 Kursk Россия 305046	4,3	166	15	5	8	27	111
Экзамен ПДД 2016. Бесплатно	https://play.google.com/store/apps/details?id=com.vialsoft.sdarufreemium	20 мая 2016 г.	1000	5000	 18M  	 1.1  	     4.0.3 или более поздняя   	3+	c/Valparaiso nº2, 2ºPlanta, Oficina 1 28941 Madrid	4,6	17	1	0	1	1	14
2014 ПДД РФ	https://play.google.com/store/apps/details?id=com.buzjabuzja.pdd.ru	12 января 2014 г.	5000	10000	 4,0M  	 1  	     3.0 или более поздняя   	3+		3,9	52	7	4	3	11	27
ПДД Украина 2016	https://play.google.com/store/apps/details?id=com.vokrab.pddukraine	11 мая 2016 г.	100000	500000	 7,8M  	 2.1  	     4.0 или более поздняя   	3+	Харьков, улица Чернышевского 13	4,3	2 775	158	109	198	526	1 784
ПДД РФ	https://play.google.com/store/apps/details?id=com.baykalapps.pdd.free.blue	25 марта 2016 г.	1000	5000	 14M  	 4.1  	     4.0.3 или более поздняя   	3+	Baykalapps@gmail.com	4,8	4	0	0	0	1	3
Экзамен AB + ПДД 2015	https://play.google.com/store/apps/details?id=com.century22nd.pdd.ab_trial	2 марта 2015 г.	1000	5000	 22M  	 1.8.5  	     4.0 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.	Санкт-Петербург, ул. Байконурская 24.	3,8	43	9	1	4	5	24
Glass Bricks	https://play.google.com/store/apps/details?id=com.gadgetcrafts.glassbricks	6 марта 2015 г.	50000	100000	 20M  	 1.0.6  	     2.2 или более поздняя   	3+	Illicha 109, apt 32, 83059 Donetsk, Ukraine	4,0	1 151	96	79	150	248	578
ПДД Украина 2016+	https://play.google.com/store/apps/details?id=com.ndflsoft.pdd_ukr_ad	21 июля 2016 г.	100000	500000	  Зависит от устройства 	  Зависит от устройства 	  Зависит от устройства   	3+	Needful things software  а/я 256844 Кременчуг Полтавская 39601 UA	4,5	1 301	51	40	65	213	932
ПДД Экзамен 2016	https://play.google.com/store/apps/details?id=com.ru.official.driving_exam	30 июня 2016 г.	100	500	 10M  	 1.1  	     4.1 или более поздняя   	3+		5,0	5	0	0	0	0	5
Билеты ПДД как в ГАИ	https://play.google.com/store/apps/details?id=com.andromo.dev416454.app423842	4 сентября 2015 г.	1000	5000	 2,1M  	 1.1  	     2.3.3 или более поздняя   	3+		4,5	6	0	0	1	1	4
